,region_name,decade,n_new_cultural_producers,score,pop (millions),n_new_cultural_producers_per_million_hab
436,France,1410,140.4,7,13.47,10.42316258351893
437,France,1420,325.3,18,13.64,23.848973607038122
438,France,1430,212.2,10,13.81,15.365677045619115
439,France,1440,862.1,37,13.98,61.666666666666664
440,France,1450,90.0,7,14.15,6.360424028268551
441,France,1460,315.3,20,14.32,22.018156424581004
442,France,1470,46.3,6,14.49,3.1953071083505864
443,France,1480,653.2,51,14.66,44.55661664392906
444,France,1490,157.6,9,14.83,10.627107215104518
445,France,1500,1019.5,43,15.0245,67.8558354687344
446,France,1510,363.7,23,15.35,23.693811074918568
447,France,1520,1188.6,55,15.7,75.70700636942675
448,France,1530,648.9,40,16.05,40.429906542056074
449,France,1540,3649.7,186,16.4,222.5426829268293
450,France,1550,757.2,48,16.75,45.20597014925374
451,France,1560,1944.5,109,17.1,113.71345029239765
452,France,1570,1123.0,71,17.45,64.35530085959886
453,France,1580,2198.0,144,17.8,123.48314606741573
454,France,1590,954.9,57,18.15,52.61157024793389
455,France,1600,2386.1,125,18.4928,129.02859491261464
456,France,1610,1365.8,85,18.797099999999997,72.66014438397413
457,France,1620,2770.3,170,19.0942,145.0859423280368
458,France,1630,1958.1,121,19.391299999999998,100.97827376194479
459,France,1640,4525.3,230,19.6884,229.84600069076205
460,France,1650,2110.9,154,19.9855,105.62157564234072
461,France,1660,2713.2,191,20.2826,133.76983227002455
462,France,1670,2336.4,163,20.5797,113.5293517398213
463,France,1680,5750.8,313,20.8768,275.4636725935009
464,France,1690,2907.8,186,21.1739,137.32944804688793
465,France,1700,4596.9,215,21.5416,213.39640509525753
466,France,1710,3423.6,171,22.2859,153.6217967414374
467,France,1720,4675.3,230,23.1008,202.38693032275938
468,France,1730,3348.0,177,23.9158,139.99113556728187
